"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","3002","","","","3002:BAT_3002",""
"C1","1","100uF 6.3V","","","","CAP_GRM31CR_MUR","GRM31CR60J107MEA8K"
"C2","1","10uF 6.3V","","","","G-188_MUR","GRM188R60J106ME47D"
"C3,C4,C5","3","0.1uF 25V","","","","CL05A104KA5NNNC:CAPC1005X55N",""
"C6,C7","2","12pF 50V","","","","","~"
"C8","1","47nF","","","","","~"
"C9","1","0.1 uF 10V","","","","CAP_CL05_SAM","CL05B104KP5NNNC"
"D1","1","LED_ARGB","","","","","~"
"D3","1","PESD5V0S1UL","","","","Diode_SMD:D_SOD-882","https://assets.nexperia.com/documents/data-sheet/PESD5V0S1UL.pdf"
"J1","1","SWD","","","","","~"
"J2","1","EXT_PWR","","","","","~"
"JP1","1","JP_EXT_TO_VCC","","","","","~"
"R1","1","1.2K","","","","","~"
"R2,R3","2","1k","","","","","~"
"R4","1","1M","","","","","~"
"R5,R8","2","330K","","","","","~"
"R6","1","47K","","","","","~"
"R7","1","47","","","","","~"
"S1","1","JS102011SAQN","","","","JS102011SAQN:SW_JS102011SAQN",""
"SW1","1","1825910-6","","","","SW4_1825910-B_TEC","1825910-6"
"U1","1","BMD-360-A-R","","","","BMD-360_UBL","BMD-360-A-R"
"U2","1","XC61CN2002MR-G","","","","XC61C_SOT-23_TOR","XC61CN2002MR-G"
"XTAL1","1","32.768 kHz 12.5pF","","","","","~"
