Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","3002","BAT_3002",114.925000,-108.500000,180.000000,bottom
"C1","100uF 6.3V","C_1210_3225Metric",121.500000,-111.500000,0.000000,top
"C2","10uF 6.3V","C_0805_2012Metric",113.500000,-111.500000,0.000000,top
"C3","0.1uF 25V","C_0603_1608Metric",131.000000,-110.100000,90.000000,top
"C4","0.1uF 25V","C_0603_1608Metric",131.000000,-113.400000,90.000000,top
"C5","0.1uF 25V","C_0603_1608Metric",117.000000,-112.275000,90.000000,top
"C8","47nF","C_0603_1608Metric",100.200000,-114.200000,90.000000,top
"D1","LRTBR48G-P9Q7-1","LED_RGB_amsOSRAM_LRTBR48G",106.400000,-112.000000,0.000000,top
"D3","PESD5V0S1UL","D_SOD-882",101.600000,-118.600000,0.000000,top
"R1","1.2K","R_0603_1608Metric",103.800000,-112.600000,180.000000,top
"R7","47","R_0603_1608Metric",103.800000,-117.100000,0.000000,top
"R8","330K","R_0603_1608Metric",106.800000,-115.000000,0.000000,top
"SW1","PTS526SK15SMTR2 LFS","SW_Push_1P1T_NO_CK_PTS526SK15SMTR2_LFS",106.200000,-121.000000,0.000000,top
"U4","DA14531MOD-00F01002","XCVR_DA14531MOD-00F01002",117.500000,-122.000000,180.000000,top
